"25.11.2024";"0003000000000002h";"00147717";"001";"0.00";"100.00";"***"
"26.11.2024";"0003000000000002h";"00147717";"001";"200.00";"0.00";"***"
"27.11.2024";"0003000000000002h";"00147717";"001";"200.00";"100.00";"***"
"28.11.2024";"0003000000000002h";"00147717";"001";"400.00";"100.00";"***"
"19.11.2024";"0003000000000002h";"00147717";"001";"500.00";"100.00";"***"
"20.11.2024";"0003000000000002h";"00147717";"001";"600.00";"100.00";"***"
"15.11.2024";"0003000000000002h";"00227568";"001";"0.00";"100.00";"***"
"16.11.2024";"0003000000000002h";"00227568";"001";"200.00";"0.00";"***"
"27.11.2024";"0003000000000002h";"00227568";"001";"200.00";"100.00";"***"
"28.11.2024";"0003000000000002h";"00227568";"001";"400.00";"100.00";"***"
"19.11.2024";"0003000000000002h";"00227568";"001";"500.00";"100.00";"***"
"09.11.2024";"0003000000000002h";"00227568";"001";"600.00";"100.00";"***"
